标题,成交日期
龙岭山庄 2室1厅 68.86平米,2025.02.04
科技园五十八区 2室1厅 84.63平米,2025.02.04
金地龙城中央三期 1室1厅 43.31平米,2025.02.04
万科云城 2室2厅 62.26平米,2025.02.03
锦林新居 3室2厅 105.17平米,2025.02.03
宇宏健康花城 3室1厅 89.28平米,2025.02.02
友邻公寓 1室0厅 30平米,2025.01.31
桃源村一期 3室2厅 71.44平米,2025.01.31
壹海城四区 1室1厅 51.46平米,2025.01.27
龙珠花园A区 3室2厅 92.21平米,2025.01.26
富通蟠龙居 3室2厅 95.74平米,2025.01.26
君临海域 4室2厅 220.05平米,2025.01.26
卓越城市中心花园 3室2厅 130.75平米,2025.01.26
育德佳园 4室1厅 140.5平米,2025.01.26
佳兆业大都汇 2室1厅 74.74平米,2025.01.26
湖滨花园 2室2厅 70平米,2025.01.26
大中华汇展阁 1室0厅 43.36平米,2025.01.26
蔚蓝海岸1期 3室2厅 81.18平米,2025.01.26
畔山花园 2室1厅 77.55平米,2025.01.25
流塘阳光花园 2室1厅 46.81平米,2025.01.25
龙园创展大厦  1室1厅 43.98平米,2025.01.25
华民大厦 2室1厅 65.43平米,2025.01.25
桑达雅苑 1室1厅 52.85平米,2025.01.25
海丽大厦 3室2厅 101.86平米,2025.01.25
颐湾府 3室2厅 122平米,2025.01.25
名家富居 4室2厅 121.13平米,2025.01.24
蜜园 2室2厅 60.52平米,2025.01.24
万科四季花城一期 3室1厅 80.91平米,2025.01.24
城市山林 3室2厅 123.72平米,2025.01.24
花语岸 2室2厅 74.95平米,2025.01.24
碧桐海苑 2室2厅 71.03平米,2025.01.24
南天二花园 3室2厅 94.68平米,2025.01.24
中兆花园 3室1厅 62.35平米,2025.01.24
深华园南山区 1室1厅 33.81平米,2025.01.24
玺玥麓坊 3室2厅 95.36平米,2025.01.24
七街公馆 1室1厅 42.53平米,2025.01.24
龙光玖龙台 1室1厅 43.13平米,2025.01.24
海关大院 2室1厅 65平米,2025.01.24
星河世纪 1室1厅 44.23平米,2025.01.23
建设集团宿舍 2室1厅 78平米,2025.01.23
花果山小区 2室1厅 57.5平米,2025.01.23
益田村 4室2厅 92.53平米,2025.01.23
THETOWN乐城 2室2厅 79.8平米,2025.01.23
壹锦园 3室2厅 87.27平米,2025.01.23
金城华庭 3室2厅 78.54平米,2025.01.23
信义荔山公馆 2室2厅 72.46平米,2025.01.23
73区 3室2厅 93.36平米,2025.01.23
福海苑 2室1厅 61.33平米,2025.01.23
时尚新居 2室1厅 54.4平米,2025.01.23
华业玫瑰郡 3室2厅 85.81平米,2025.01.23
远洋新干线晶钻广场 1室1厅 31.97平米,2025.01.23
宝田雅苑 1室0厅 30.9平米,2025.01.23
云顶天海 1室1厅 55平米,2025.01.23
尚书苑 1室0厅 34.11平米,2025.01.23
中海怡翠山庄三期 5室1厅 95.16平米,2025.01.23
加福广场华尔登府邸 1室1厅 40.86平米,2025.01.22
佳兆业中央广场三期 4室2厅 139.67平米,2025.01.22
佳兆业悦峰 3室2厅 84.56平米,2025.01.22
鹏盛村 2室1厅 57.78平米,2025.01.22
园岭新村 2室2厅 75.52平米,2025.01.22
国都高尔夫花园二期 3室1厅 79.82平米,2025.01.22
南油B区 1室0厅 34.38平米,2025.01.22
菁英趣庭 3室2厅 73.74平米,2025.01.22
中海半山溪谷花园 2室2厅 70.79平米,2025.01.22
吉祥里 4室2厅 87.11平米,2025.01.22
丹枫雅苑 1室2厅 48.71平米,2025.01.22
鹏盛村 1室0厅 38.82平米,2025.01.22
陶然居 1室1厅 31.67平米,2025.01.22
佳华名苑 2室1厅 61.88平米,2025.01.22
鸿翔花园 1室0厅 35平米,2025.01.22
