id,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,建成年代,装修情况,梯户比例,配备电梯
105119313686,348,49,3,93,6,2209,2室1厅1厨1卫,2013,简装,两梯六户,有
105119202367,235,61,0,7,0,169,1室1厅1厨1卫,2009,精装,四梯十九户,有
105109601071,480,1137,20,64,3,3386,3室2厅1厨2卫,1995,简装,两梯六户,有
105119568825,588,9,0,5,1,219,4室2厅1厨2卫,2012,精装,两梯五户,有
105116564721,300,317,3,49,1,1543,3室1厅1厨1卫,2014,精装,两梯六户,有
105119105544,735,71,2,94,2,899,3室2厅1厨2卫,未知,精装,三梯六户,有
105116457629,145,327,6,10,3,2549,2室2厅1厨1卫,1998,精装,四梯二十三户,有
105117618209,421,212,6,298,2,2930,2室1厅1厨1卫,2003,精装,两梯四户,有
105116060842,103,360,7,42,3,4290,1室1厅1厨1卫,2001,简装,三梯二十六户,有
105118987303,192,83,2,8,0,147,1室0厅1厨1卫,2007,精装,五梯十六户,有
105116642020,1750,309,19,97,4,6632,4室2厅1厨2卫,2007,精装,两梯四户,有
105118494730,270,131,5,54,42,17301,3室1厅1厨2卫,2017,其他,七梯二十一户,有
105115840573,2400,399,0,50,3,1547,5室2厅1厨4卫,2017,精装,三梯三户,有
105118365575,255,144,2,81,0,2049,2室2厅1厨1卫,2009,精装,三梯十户,有
105117350280,445,238,6,26,2,2609,3室2厅1厨1卫,2015,精装,两梯六户,有
105118578285,600,123,2,20,1,1228,4室2厅1厨2卫,2007,其他,两梯四户,有
105117971553,560,181,6,15,0,3,3室2厅1厨1卫,1984,简装,暂无数据,无
105119415915,318,38,2,6,0,205,1室0厅1厨1卫,1997,精装,三梯八户,有
105118139354,220,165,0,14,0,9,2室1厅1厨1卫,2007,其他,三梯八户,有
105119274847,395,53,3,13,0,519,3室2厅1厨2卫,2014,其他,两梯五户,有
105117304370,194,242,3,59,3,3415,1室0厅0厨0卫,2005,简装,六梯五十六户,有
105117304357,208,242,2,18,1,891,1室0厅0厨0卫,2005,简装,六梯五十六户,有
105119170641,320,64,0,1,0,2,1室1厅1厨1卫,2005,其他,三梯十六户,有
105119391730,580,40,0,10,2,1233,4室2厅1厨2卫,未知,精装,暂无数据,暂无数据
105119191070,780,62,1,15,1,604,3室1厅1厨1卫,2000,精装,两梯八户,有
105117777292,520,197,1,5,3,2495,3室2厅1厨2卫,2020,精装,两梯三户,有
105115725895,620,411,3,10,1,676,3室2厅1厨1卫,2009,其他,两梯四户,有
105115251442,70,465,1,7,2,857,1室0厅1厨1卫,2016,其他,三梯十五户,有
105116695005,288,303,2,6,0,232,2室1厅1厨1卫,2004,其他,两梯十三户,有
105112731375,759,723,15,792,11,8904,3室2厅1厨2卫,2018,毛坯,四梯八户,有
